X,Y,Z,r
-17.1859,513.655,-42.8735,4.99963
-29.9968,274.373,12.8997,4.99946
14.4138,401.326,-56.7905,4.99444
-42.3096,369.655,-74.4491,4.99443
-31.7078,258.193,-8.45728,4.99393
19.1805,271.678,23.8856,4.99087
-42.3872,97.627,28.3347,4.99021
-43.0657,23.9626,0.998901,4.99016
6.56934,154.203,53.6589,4.99011
-1.49182,498.378,67.3762,4.99003
49.1812,44.3142,91.8003,4.98894
-34.2577,186.289,41.6699,4.98429
22.4963,123.482,-93.2031,4.98337
-5.9248,431.136,77.5446,4.9833
4.7771,46.9971,-64.4214,4.98326
37.4996,78.3185,-31.6674,4.9808
-3.74951,561.01,18.4105,4.98033
-0.139648,158.178,-8.62231,4.98012
-3.19299,377.966,-7.4762,4.97825
42.3892,312.647,-61.5842,4.97648
9.38147,356.383,25.3799,4.97519
33.2542,233.851,-82.9926,4.97507
42.6108,256.931,84.2732,4.97489
1.75269,268.15,-47.4663,4.97478
-32.6147,553.25,-51.9777,4.97363
28.6021,346.876,-65.1655,4.973
6.12439,198.775,71.4021,4.97213
15.5787,447.259,40.6626,4.97186
-13.3157,200.735,67.6439,4.97148
38.0959,120.355,38.2384,4.97126
39.2902,116.877,9.83093,4.97124
-9.72375,112.355,-25.2169,4.96921
-25.9016,306.472,-56.6569,4.96864
-16.3763,361.341,-57.637,4.96833
-43.1436,213.414,-1.19934,4.96465
37.9044,500.855,-75.8419,4.96443
43.0961,360.423,84.0284,4.96417
-7.33252,498.328,-76.2012,4.96392
16.3138,329.807,20.407,4.96349
0.317505,367.199,28.0592,4.96243
-32.9436,505.834,-51.9578,4.96192
8.99817,240.527,-83.2169,4.96164
6.05835,343.461,-84.4347,4.96142
42.6455,144.412,47.5844,4.96111
22.6714,460.357,66.9795,4.96029
-19.9604,315.754,10.7225,4.96005
-4.84033,115.626,11.7264,4.95978
1.7135,447.289,35.8956,4.9589
43.0509,527.824,-6.74817,4.95885
-2.20044,100.596,-26.5643,4.95663
-27.3492,51.5573,-60.0706,4.95654
23.4553,351.729,-34.8409,4.95573
3.7937,414.031,54.0251,4.95549
-18.9053,242.921,4.56421,4.9553
-15.9003,217.551,28.1682,4.95478
-35.115,351.211,-66.2467,4.95474
16.4774,180.33,-66.6483,4.9544
43.0685,448.084,20.7784,4.95425
-32.7788,311.496,15.8334,4.95324
22.963,433.677,61.1569,4.95111
28.95,347.055,75.907,4.95104
18.7887,410.59,-47.3485,4.95008
-17.7081,397.096,46.6637,4.94962
14.6464,254.884,-6.88611,4.94926
-8.95251,176.807,-74.613,4.94729
-37.7438,22.067,75.561,4.94656
16.9811,475.25,-12.9583,4.94641
39.6958,234.207,-23.1068,4.94621
-23.5476,377.274,-45.9498,4.94591
45.071,144.182,6.23694,4.94561
29.625,386.656,-12.8545,4.94348
-18.0669,87.4213,20.6123,4.94285
22.15,99.3563,19.3226,4.94243
-31.6027,436.234,-84.772,4.94216
4.93921,433.933,37.9061,4.94215
2.8468,311.019,-11.2042,4.94112
-26.2649,485.733,-53.2561,4.94104
33.6616,224.037,51.6132,4.94086
-37.5475,313.64,56.986,4.93959
43.0626,546.626,83.528,4.93925
-1.86597,172.49,32.6027,4.93816
-14.7073,245.968,68.046,4.93813
43.098,191.11,84.103,4.93803
11.7661,234.683,-24.5391,4.93599
40.6733,470.914,4.82532,4.93598
22.1001,120.114,58.6519,4.93467
-1.44458,71.6783,-36.4833,4.9317
-11.028,422.451,29.7507,4.93135
24.9543,446.751,65.4185,4.93077
-16.5896,113.803,-37.5577,4.92882
-43.1985,124.799,41.0111,4.92829
13.3138,290.565,7.354,4.92719
-24.0344,15.2437,57.915,4.92717
-20.8926,32.9727,-34.4548,4.92669
-3.93994,275.136,26.8799,4.92631
19.1262,287.431,50.5741,4.9256
-3.64185,422.636,-77.0759,4.92522
26.0593,484.979,-9.07166,4.92482
24.7029,403.31,93.1855,4.92283
-34.3894,254.264,-72.674,4.92215
6.53479,161.979,79.9591,4.92031
10.6007,348.474,62.0122,4.92025
-3.86304,466.71,-8.21082,4.92002
-12.7123,373.714,-16.5685,4.91984
42.8082,378.585,-46.4216,4.91836
2.31726,421.742,25.7739,4.91831
30.2676,142.654,86.1478,4.91831
7.67004,462.027,-68.7233,4.91534
40.4989,236.371,-43.9891,4.91475
-43.1281,341.475,-47.3131,4.91434
39.6744,78.7238,82.5176,4.91371
19.9642,184.903,12.9786,4.91359
-7.31531,78.5016,22.3765,4.91274
-5.71741,428.3,5.74585,4.91222
-18.3884,182.002,83.6367,4.91188
30.621,464.717,12.0127,4.91164
-26.3794,96.2528,52.6904,4.91164
39.4121,400.666,10.624,4.91135
13.5247,356.884,-82.7281,4.911
-33.1412,68.6094,93.1375,4.91043
32.3008,282.981,20.3679,4.90962
-24.6266,513.401,68.3385,4.90923
13.1853,219.29,72.3066,4.90877
-32.2123,163.071,36.6979,4.90639
4.04358,159.406,93.2502,4.90625
42.5542,251.117,52.8964,4.90599
-26.2012,88.1693,-13.8335,4.90585
-3.32764,503.736,-55.4495,4.90434
-2.49573,344.534,63.6451,4.90219
-0.0894775,412.819,-55.9325,4.90153
0.852539,140.237,-67.1284,4.90063
10.0221,570.784,82.4421,4.89965
30.5032,545.953,76.3403,4.89915
-10.3231,371.11,-93.1473,4.89909
-1.53064,40.174,53.8994,4.89817
39.8864,20.9895,-7.53638,4.89778
30.7589,164.377,22.3407,4.89715
20.6705,328.246,33.4362,4.89579
0.465576,126.832,-84.0549,4.89544
2.44641,558.882,2.39209,4.89317
43.0768,568.878,-79.7781,4.89274
-19.9791,391.17,7.80933,4.89238
-20.7902,293.405,9.07336,4.89238
-31.3303,42.8661,-93.1859,4.89152
-29.7997,507.466,93.1194,4.89062
21.1228,521.331,-80.4982,4.88988
43.2357,203.294,-43.9343,4.88969
33.3801,402.368,-87.8075,4.88843
-24.734,377.603,29.455,4.88684
1.83679,522.861,-22.5011,4.88677
-22.6587,310.508,33.2908,4.88658
30.4149,16.2245,-24.1223,4.88645
43.1233,463.507,-36.1478,4.88563
-0.0296631,304.999,93.1824,4.8848
5.08362,201.552,57.9498,4.88461
41.7441,107.066,84.5306,4.88396
5.93018,489.157,-31.8864,4.88322
-6.78613,11.7478,32.7854,4.8822
-8.26782,283.288,-49.9136,4.88206
0.942383,249.279,-3.00513,4.88196
-20.6143,552.919,-45.0674,4.88004
17.9773,186.458,35.7527,4.87998
-10.7549,124.537,-19.1326,4.87964
-32.2206,117.041,36.9751,4.8796
-12.1836,12.5293,93.0775,4.8795
-26.4165,127.339,-93.1759,4.87907
-11.8231,410.096,92.8334,4.87875
23.2531,469.809,29.8837,4.87547
-30.6708,42.2498,42.3074,4.87474
30.6538,292.36,58.9266,4.87421
41.5963,306.091,-43.5071,4.87391
-31.2953,203.562,-36.7584,4.87374
2.48901,525.141,-71.9006,4.87336
-13.228,28.8158,75.752,4.87316
-23.5215,150.569,33.8313,4.87281
49.2715,71.9126,-34.3993,4.87272
-12.0316,506.143,-65.8439,4.87225
-43.1821,114.959,83.3705,4.87225
-6.23816,173.665,53.9579,4.87207
42.8009,288.287,63.8646,4.87186
19.7961,428.931,48.6019,4.87154
5.19885,201.04,-72.9094,4.87138
-8.81946,209.223,-26.3477,4.87133
34.2444,247.426,-75.053,4.87123
-2.0448,312.698,25.1105,4.86945
35.0583,49.8344,-68.8708,4.86912
-20.9314,230.214,9.50574,4.86873
16.3187,209.392,58.326,4.86847
-27.9496,101.182,-32.299,4.86832
14.9171,447.401,-36.1055,4.86685
-34.3135,134.385,-24.3104,4.8667
20.0198,388.436,85.856,4.86497
26.3979,49.2617,63.9646,4.86344
32.0559,494.962,81.9893,4.8633
35.6321,541.914,-38.1857,4.86327
-34.9978,208.542,36.4026,4.86288
-7.02539,340.039,-81.4652,4.8626
-35.6418,518.257,84.5587,4.86175
43.212,403.04,35.5138,4.85912
11.5604,305.872,-41.2676,4.85813
6.4375,320.593,34.9291,4.85749
-43.2183,140.341,55.3359,4.8565
18.6863,545.583,-3.82739,4.85595
-18.0867,462.447,7.11829,4.85474
-43.1718,241.645,-29.7263,4.85365
25.5557,498.361,56.6211,4.85331
-35.8527,212.438,80.2255,4.8528
9.75171,169.681,-93.1917,4.85263
21.1667,123.836,71.7621,4.85216
2.02014,170.285,68.7065,4.85151
40.6523,108.863,20.9728,4.85066
43.1687,461.068,-87.6366,4.85045
-43.0306,400.5,70.8812,4.85018
-18.6526,369.891,39.0101,4.85012
-25.681,23.4886,45.8751,4.85002
-43.2075,150.433,-72.1725,4.8494
1.95288,533.578,25.1378,4.84934
-20.7471,341.272,22.0327,4.84884
22.1858,102.978,32.6877,4.8488
34.5085,400.221,77.2793,4.84826
28.9662,447.196,11.1479,4.84819
20.9503,426.092,-13.6368,4.84806
34.9653,51.6895,-55.3743,4.84493
-2.92834,565.806,-13.5431,4.84397
27.8386,567.656,-2.46924,4.84382
42.5953,533.976,78.0883,4.84265
-9.88696,153.182,93.1871,4.84048
3.07031,380.217,31.5594,4.84042
-43.2946,347.415,-13.2485,4.83964
-11.1564,518.7,31.2015,4.83899
35.0725,161.393,80.7374,4.83888
16.7841,442.873,-48.8872,4.83868
-34.6454,95.8942,-74.7284,4.83838
-42.8151,12.9086,39.4076,4.83802
-2.53394,119.059,77.2917,4.83712
43.2052,365.211,-43.4929,4.83706
-10.3152,341.416,-17.7716,4.83641
14.9453,33.3969,41.4412,4.8355
41.5613,65.5648,85.9523,4.83525
-22.9543,381.56,-11.8369,4.83399
22.7383,371.057,30.7198,4.83388
3.83618,462.313,19.3895,4.83329
-34.057,396.524,60.8579,4.83328
-8.82153,40.7744,42.4075,4.83304
21.6373,116.892,92.8892,4.83276
49.1982,78.6593,-83.4763,4.8318
43.1964,325.583,53.9757,4.8282
35.2194,418.707,34.3181,4.82804
-1.93433,434.549,-55.9685,4.828
49.3088,117.25,-48.183,4.82569
7.81616,217.073,-59.9758,4.8256
-43.2565,235.011,93.2839,4.82554
-28.6071,231.152,20.7906,4.82507
43.1997,391.693,84.1621,4.82506
40.3483,282.676,35.219,4.8245
-5.33948,53.0726,12.5454,4.82426
35.646,106.455,-26.4331,4.82285
24.5134,327.946,-43.7843,4.82264
-31.9999,76.6501,-3.5022,4.8224
44.8494,108.046,35.391,4.82129
35.7659,207.118,71.4141,4.82019
-43.2053,511.878,-22.5453,4.81949
41.4503,118.273,63.5005,4.81906
-24.844,517.989,-72.5253,4.81863
27.4146,83.4705,-39.5017,4.81807
-43.2288,458.814,24.6816,4.81675
4.90259,26.6912,-28.0277,4.81527
10.6459,365.443,55.1383,4.81495
-31.7816,513.658,-29.7507,4.81486
24.4719,43.5438,-52.5647,4.81462
-14.7271,491.898,75.2008,4.81454
-32.1399,48.5115,-72.4352,4.81422
-20.7014,48.6338,74.309,4.81329
10.2456,463.295,72.1251,4.81295
-34.5709,541.765,11.6727,4.81182
-22.963,403.775,-38.1323,4.81179
-3.65991,67.4075,-23.7529,4.81135
35.8102,74.5142,35.0253,4.81112
-6.58752,501.828,79.7268,4.81085
49.2516,6.69507,-53.9188,4.81054
38.4781,562.64,-9.39563,4.81024
5.14844,14.317,-39.5922,4.80984
39.7802,358.643,58.037,4.80734
-43.2986,109.542,-17.0422,4.80681
6.48474,294.062,46.4564,4.80659
-6.14062,521.126,-56.9315,4.80561
-19.2445,546.617,8.77075,4.80556
-13.2717,158.588,-93.2592,4.80505
0.93335,200.035,32.7985,4.80498
24.0319,404.153,20.525,4.80443
14.1738,128.117,-83.5028,4.80334
43.2074,491.6,-48.5444,4.80269
-43.2825,319.594,12.6094,4.80059
31.4797,565.936,-73.0887,4.80036
4.03516,330.898,26.3849,4.79924
-37.5969,157.736,48.0347,4.79798
-31.7761,404.564,-68.5548,4.79795
-1.90381,131.968,81.3005,4.79744
-31.9929,40.2544,10.1044,4.79706
-12.1309,31.1018,-83.4032,4.79592
-17.3043,550.829,93.1317,4.79492
11.29,196.101,-39.5688,4.7943
-27.8466,247.154,38.6615,4.79387
18.9617,374.833,18.1848,4.79383
43.2137,371.957,-67.2913,4.79237
26.7208,506.14,87.751,4.7916
48.8033,143.324,72.4183,4.78891
-4.6001,191.647,10.1903,4.78866
-28.5913,322.763,-13.5913,4.78847
-43.2616,90.3677,-51.9948,4.78835
2.70142,364.003,-39.4301,4.78818
37.0193,396.113,-43.9344,4.78774
33.7186,495.511,67.1718,4.78742
-13.6029,526.062,46.8792,4.78688
43.3192,165.379,-13.6898,4.78567
4.43848,236.139,-4.01819,4.78543
-5.09314,434.751,-69.1744,4.78485
-35.9939,484.203,-20.8358,4.78269
-15.8953,85.0297,7.33008,4.78264
26.6077,350.47,-93.3431,4.78238
26.7109,251.442,-12.4192,4.78163
27.8829,545.149,-18.796,4.78141
-43.2495,532.235,-63.8256,4.78118
-10.5691,296.873,-1.93079,4.78062
49.3663,91.5546,-50.9418,4.77995
11.6976,272.32,45.8898,4.77985
-3.69202,352.221,-60.307,4.77934
-22.999,64.0801,-56.9634,4.77877
13.9889,6.56592,93.3239,4.77849
19.1561,343.938,3.02979,4.77791
24.798,383.04,-29.3561,4.77696
25.4459,253.181,1.2821,4.77545
-43.2808,411.373,0.533081,4.7722
-6.11707,328.941,-14.3159,4.77149
-37.1301,304.371,26.6384,4.77116
7.79602,385.794,42.9307,4.77099
-25.8861,116.892,70.0647,4.7698
-26.0853,527.51,-9.78882,4.76912
25.8741,290.87,-64.2284,4.76865
-26.8951,363.996,-45.7402,4.76861
-32.2561,140.387,31.5958,4.76807
2.48682,545.84,34.2495,4.76783
33.561,127.342,57.423,4.76687
9.50256,334.02,93.3611,4.76644
29.6877,60.1449,82.4122,4.76594
9.71936,139.119,22.4584,4.76522
-23.9255,161.508,-72.937,4.76455
43.2919,429.62,67.5537,4.76414
-43.2484,85.1538,23.0348,4.76369
-1.90881,351.147,19.6804,4.76194
36.9575,439.181,33.9535,4.76019
15.7462,29.2933,-35.5229,4.75981
33.4052,303.1,93.2421,4.75855
49.5004,29.4617,55.2385,4.75826
-20.2872,448.839,-47.5531,4.75731
43.3224,212.615,27.6292,4.75702
49.2932,132.96,93.3748,4.75682
3.94543,185.026,73.1011,4.75575
-37.0598,204.069,-23.7994,4.75428
22.0132,260.49,-45.5254,4.75371
-23.8127,282.673,46.1434,4.75278
27.511,107.479,-66.2676,4.75209
13.4015,438.928,-81.4152,4.75169
-2.00378,35.2449,-93.3772,4.75129
40.369,31.5162,-44.3397,4.75101
8.49548,90.4691,5.27759,4.7503
7.81506,121.176,-73.9789,4.74995
25.1071,552.307,28.4518,4.74969
41.1884,108.824,-0.976196,4.74956
-8.01306,96.3385,-71.7219,4.74933
43.25,432.57,44.4344,4.74925
17.9835,201.015,11.861,4.74863
-36.1086,564.481,-65.5258,4.74842
49.3191,135.039,-61.8643,4.74808
28.2896,277.715,-56.399,4.74736
-9.16711,414.813,-86.811,4.74684
33.5074,329.327,73.3342,4.74663
27.1094,40.5333,15.4457,4.7466
-11.7067,76.8976,93.2665,4.74658
36.4464,377.109,77.8571,4.74657
14.7864,540.719,-34.4989,4.74614
43.395,201.892,-21.822,4.74598
-43.2876,496.202,-44.2535,4.74558
-25.813,157.447,69.5703,4.74545
34.7192,423.003,-36.113,4.74384
-16.2297,304.159,77.8959,4.74378
-13.1041,319.782,21.8501,4.74288
-0.399658,270.458,3.77612,4.74203
5.04578,472.643,-19.0796,4.74171
43.3237,242.557,84.0283,4.7412
43.2786,377.321,26.6387,4.74112
11.9291,461.736,-15.1804,4.73992
-38.1232,517.881,67.783,4.73732
20.5299,501.824,15.167,4.7372
-0.524902,81.4841,33.6448,4.73624
12.7675,409.42,-26.4045,4.736
30.5728,204.818,-24.2708,4.73555
13.4512,306.263,55.0284,4.7346
-15.3676,281.811,82.5094,4.73258
-21.5602,469.531,68.4271,4.73196
-29.7533,225.913,-53.4254,4.73171
34.3912,271.179,-74.4347,4.72984
31.1024,502.325,6.84424,4.72964
30.5956,441.517,-24.494,4.72929
-5.09265,394.675,16.9272,4.7262
24.105,74.3131,-73.7715,4.72537
42.3871,306.105,39.7842,4.72528
-8.29333,517.912,-83.6654,4.72507
18.2578,6.71326,-66.062,4.72438
-23.5651,84.2334,-35.8638,4.7235
-14.5446,175.177,36.6398,4.72329
-0.404175,315.058,9.65588,4.7231
37.5449,530.529,-45.6831,4.72305
-34.4355,436.526,-64.3861,4.72286
6.00647,266.145,69.87,4.72248
7.17749,274.436,-36.3107,4.72216
49.3193,41.9989,50.4174,4.72212
-23.6605,298.826,-3.39111,4.72006
-22.0956,417.817,-84.54,4.71998
-43.292,301.647,38.3027,4.71981
26.9604,67.3297,93.4363,4.71839
22.689,7.54346,-84.9426,4.71769
1.26697,269.255,-93.3964,4.71764
-2.33167,44.8912,76.7029,4.71705
-43.4563,168.248,42.3329,4.71611
-26.6632,496.439,-82.6689,4.71609
18.1992,173.356,32.4597,4.71566
-8.32141,235.769,-76.2246,4.71456
13.4255,392.714,21.0697,4.71446
-33.7911,6.62183,-72.1987,4.71156
-14.6951,485.162,14.817,4.70963
-41.4078,191.98,93.3984,4.7082
20.3945,276.795,73.5043,4.70765
36.9764,436.276,-87.9971,4.70718
34.6643,485.608,58.0554,4.70686
16.2012,561.282,-84.2238,4.70601
-34.0291,353.073,45.7302,4.70601
39.7157,102.808,-93.3544,4.706
1.38672,529.761,-0.155029,4.70519
6.15894,27.3717,71.0482,4.70464
